CaseId,Activity,Timestamp
1,CREATE_ENTRY_SUCCESS,2025-01-01 09:00:00
1,VALIDATE_DATA_SUCCESS,2025-01-01 09:25:00
1,DECIDE_ACTION_SUCCESS,2025-01-01 09:50:00
1,CLOSE_CASE_SUCCESS,2025-01-01 10:50:00
2,DATA_INPUT_SUCCESS,2025-01-01 09:15:00
2,CHECK_RULES_SUCCESS,2025-01-01 09:40:00
3,CREATE_ENTRY_SUCCESS,2025-01-01 09:30:00
3,VALIDATE_DATA_FAILED,2025-01-01 10:15:00
3,REVISE_ENTRY_SUCCESS,2025-01-01 10:40:00
3,VALIDATE_DATA_SUCCESS,2025-01-01 11:10:00
3,DECIDE_ACTION_SUCCESS,2025-01-01 11:25:00
3,CLOSE_CASE_SUCCESS,2025-01-01 11:55:00
4,CREATE_ENTRY_SUCCESS,2025-01-01 10:00:00
4,DATA_INPUT_SUCCESS,2025-01-01 11:00:00
4,CHECK_RULES_SUCCESS,2025-01-01 11:15:00
4,DECIDE_ACTION_SUCCESS,2025-01-01 11:30:00
4,CLOSE_CASE_SUCCESS,2025-01-01 12:00:00
5,CREATE_ENTRY_SUCCESS,2025-01-01 12:10:00
5,DATA_INPUT_SUCCESS,2025-01-01 12:20:00
5,VALIDATE_DATA_FAILED,2025-01-01 12:30:00
5,REVISE_ENTRY_SUCCESS,2025-01-01 12:40:00
5,VALIDATE_DATA_FAILED,2025-01-01 12:50:00
5,REVISE_ENTRY_SUCCESS,2025-01-01 13:00:00
5,DECIDE_ACTION_SUCCESS,2025-01-01 13:10:00
5,CLOSE_CASE_SUCCESS,2025-01-01 13:30:00
